"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"1","2015","Cornell","Ivy League",1,"18","Scorza, Spencer","Sr","INF",40,40,0.279,0.338,0.381,21,147,41,12,NA,NA,1,25,9,4,NA,NA,15,8,NA,NA,2,NA,167,865,"1547004","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547004"
"2","2015","Cornell","Ivy League",1,"2","Tatum, Kevin","Sr","OF",40,40,0.302,0.377,0.374,17,139,42,7,NA,NA,1,26,17,1,2,1,27,3,NA,NA,NA,NA,167,865,"1324528","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324528"
"3","2015","Cornell","Ivy League",1,"17","Karl, Ryan","Sr","OF",40,40,0.224,0.333,0.313,22,134,30,6,NA,NA,2,18,19,4,2,NA,38,2,3,NA,2,NA,167,865,"1547003","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547003"
"4","2015","Cornell","Ivy League",1,"38","Morris, Dan","Sr","INF",37,35,0.285,0.352,0.392,22,130,37,10,2,NA,NA,19,12,2,1,1,26,5,NA,NA,2,NA,167,865,"1439156","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439156"
"5","2015","Cornell","Ivy League",1,"8","Padulo, Frankie","So","INF",36,33,0.284,0.34,0.379,13,95,27,7,1,NA,NA,8,6,2,NA,3,16,3,NA,NA,2,NA,167,865,"1546995","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546995"
"6","2015","Cornell","Ivy League",1,"27","Winawer, Jordan","Jr","OF",33,27,0.184,0.266,0.204,14,98,18,2,NA,NA,NA,6,9,2,NA,1,24,3,NA,NA,2,NA,167,865,"1439151","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439151"
"7","2015","Cornell","Ivy League",1,"15","Wagner, Tommy","So","INF",28,28,0.308,0.365,0.352,13,91,28,2,1,NA,NA,15,8,2,3,NA,7,4,1,NA,4,NA,167,865,"1547005","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547005"
"8","2015","Cornell","Ivy League",1,"19","Wickham, Dale","Fr","INF",26,17,0.236,0.333,0.255,8,55,13,1,NA,NA,NA,5,8,NA,NA,NA,9,2,NA,NA,NA,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652396"
"9","2015","Cornell","Ivy League",1,"6","Whetsel, JD","Sr","OF",24,24,0.19,0.333,0.238,14,84,16,4,NA,NA,NA,4,14,4,NA,1,15,1,2,NA,9,NA,167,865,"1324529","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324529"
"10","2015","Cornell","Ivy League",1,"4","Hall, Matt","Sr","C",22,19,0.212,0.328,0.288,6,52,11,4,NA,NA,NA,3,8,1,NA,1,3,1,NA,NA,NA,NA,167,865,"1329458","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1329458"
"11","2015","Cornell","Ivy League",1,"24","Bitar, Ellis","Fr","C",21,18,0.232,0.317,0.321,6,56,13,5,NA,NA,NA,8,6,1,NA,NA,18,NA,1,NA,2,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652397"
"12","2015","Cornell","Ivy League",1,"5","Lowell, Eliot","Jr","INF",20,12,0.147,0.275,0.176,3,34,5,1,NA,NA,NA,1,6,NA,NA,1,6,4,NA,NA,NA,NA,167,865,"1439148","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439148"
"13","2015","Cornell","Ivy League",1,"3","Smith, Jamie","So","C",18,11,0.13,0.18,0.261,4,46,6,3,NA,NA,1,5,2,1,1,NA,19,NA,NA,NA,NA,NA,167,865,"1546996","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546996"
