"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"1","2019","Cornell","Ivy League",1,"6","Arndt, Josh","Sr","INF",38,38,0.214,0.285,0.303,16,145,31,8,1,44,1,15,14,2,4,NA,32,7,3,NA,6,NA,167,865,"1779078","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1779078"
"2","2019","Cornell","Ivy League",1,"33","Simoneit, Will","Sr","C",38,37,0.299,0.357,0.493,17,144,43,10,0,71,6,19,8,5,NA,NA,13,6,NA,NA,6,NA,167,865,"1779085","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1779085"
"3","2019","Cornell","Ivy League",1,"15","Collins, Matt","Jr","INF",38,36,0.217,0.314,0.325,13,120,26,5,1,39,2,7,15,2,NA,1,42,1,1,NA,10,NA,167,865,"1884388","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884388"
"4","2019","Cornell","Ivy League",1,"21","Garza, Ramon","So","INF",37,37,0.219,0.272,0.299,13,137,30,8,0,41,1,11,9,2,3,1,23,4,2,NA,7,NA,167,865,"1997328","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997328"
"5","2019","Cornell","Ivy League",1,"2","Binnie, Nicholas","So","P",34,30,0.257,0.316,0.305,13,105,27,5,0,32,0,7,8,1,NA,3,26,2,NA,NA,6,NA,167,865,"1997325","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997325"
"6","2019","Cornell","Ivy League",1,"3","Carnegie, Alex","Jr","INF",32,31,0.144,0.211,0.207,8,111,16,2,1,23,1,18,6,4,2,1,35,2,NA,NA,2,NA,167,865,"1884385","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884385"
"7","2019","Cornell","Ivy League",1,"35","Flematti, Austin","Fr","C",30,28,0.2,0.308,0.27,13,100,20,4,0,27,1,14,12,4,1,1,21,1,1,NA,2,NA,167,865,"2111757","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111757"
"8","2019","Cornell","Ivy League",1,"25","Apostle, Jason","So","OF",28,23,0.233,0.333,0.315,6,73,17,4,1,23,0,3,8,3,NA,4,24,1,1,NA,3,NA,167,865,"1997329","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997329"
"9","2019","Cornell","Ivy League",1,"9","Taylor, Justin","Fr","INF",27,27,0.204,0.324,0.215,5,93,19,1,0,20,0,3,16,1,1,2,24,3,3,NA,4,NA,167,865,"2111720","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111720"
"10","2019","Cornell","Ivy League",1,"13","Saks, Adam","Sr","P",26,26,0.337,0.414,0.515,13,101,34,9,3,52,1,11,14,NA,1,4,11,1,4,NA,1,NA,167,865,"1779079","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1779079"
"11","2019","Cornell","Ivy League",1,"34","Natoli, John","Jr","P",19,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884378","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884378"
"12","2019","Cornell","Ivy League",1,"1","Lillios, Nikolas","Fr","P",15,5,0.176,0.318,0.235,5,17,3,1,0,4,0,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,167,865,"2111707","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111707"
"13","2019","Cornell","Ivy League",1,"26","Davis, Trevor Daniel","So","P",14,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997345","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997345"
"14","2019","Cornell","Ivy League",1,"4","Matton, Kalani","So","INF",13,13,0.14,0.178,0.163,2,43,6,1,0,7,0,2,1,1,NA,1,14,NA,1,NA,1,NA,167,865,"1997347","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997347"
