"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"1","2018","Cornell","Ivy League",1,"27","Gallagher, Kyle","Sr","OF",37,37,0.273,0.415,0.381,29,139,38,10,1,53,1,22,35,NA,2,NA,29,2,2,NA,4,NA,167,865,"1884386","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884386"
"2","2018","Cornell","Ivy League",1,"12","Krainz, Ryan","Sr","INF",37,37,0.31,0.389,0.348,29,158,49,4,1,55,0,15,21,NA,1,NA,28,1,3,NA,11,NA,167,865,"1884383","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884383"
"3","2018","Cornell","Ivy League",1,"33","Simoneit, Will","Jr","C",37,37,0.308,0.38,0.406,17,143,44,8,0,58,2,27,13,6,4,NA,23,NA,2,NA,7,NA,167,865,"1779085","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779085"
"4","2018","Cornell","Ivy League",1,"2","Bitar, Ellis","Sr","C",36,36,0.266,0.375,0.42,26,143,38,8,1,60,4,28,17,8,NA,NA,35,4,NA,NA,6,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652397"
"5","2018","Cornell","Ivy League",1,"5","Wickham, Dale","Sr","OF",36,35,0.27,0.432,0.475,27,122,33,8,1,58,5,31,25,12,3,NA,26,1,NA,NA,NA,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652396"
"6","2018","Cornell","Ivy League",1,"6","Arndt, Josh","Jr","INF",32,27,0.231,0.272,0.368,14,117,27,8,1,43,2,15,6,1,1,NA,27,1,1,NA,3,NA,167,865,"1779078","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779078"
"7","2018","Cornell","Ivy League",1,"19","Lepper, Kaleb","So","OF",27,23,0.192,0.357,0.282,11,78,15,3,2,22,0,8,17,3,NA,2,17,1,2,NA,4,NA,167,865,"1884384","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884384"
"8","2018","Cornell","Ivy League",1,"21","Garza, Ramon","Fr","INF",27,23,0.136,0.174,0.17,5,88,12,3,NA,15,NA,2,2,2,NA,NA,31,4,1,NA,4,NA,167,865,"1997328","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997328"
"9","2018","Cornell","Ivy League",1,"35","Baur, Trey","Sr","INF",26,22,0.284,0.363,0.407,11,81,23,7,0,33,1,10,7,3,NA,1,24,3,NA,NA,3,NA,167,865,"1652419","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652419"
"10","2018","Cornell","Ivy League",1,"25","Apostle, Jason","Fr","OF",24,19,0.197,0.321,0.273,8,66,13,2,0,18,1,11,10,3,2,2,24,2,1,NA,2,NA,167,865,"1997329","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997329"
"11","2018","Cornell","Ivy League",1,"31","Wyatt, Colby","So","P",19,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884389","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884389"
"12","2018","Cornell","Ivy League",1,"1","Le Dorze, Pierre","Sr","OF",19,13,0.096,0.19,0.135,3,52,5,2,0,7,0,2,5,1,NA,NA,17,4,NA,NA,1,NA,167,865,"1652421","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652421"
"13","2018","Cornell","Ivy League",1,"15","Collins, Matt","So","INF",19,13,0.205,0.347,0.308,10,39,8,2,1,12,0,4,8,1,1,NA,12,NA,NA,NA,1,NA,167,865,"1884388","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884388"
"14","2018","Cornell","Ivy League",1,"40","Ellison, Andrew","So","P",16,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997332","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997332"
"15","2018","Cornell","Ivy League",1,"32","Matton, Kalani","Fr","INF",16,10,0.256,0.319,0.419,8,43,11,1,NA,18,2,7,3,1,NA,NA,9,NA,2,NA,1,NA,167,865,"1997347","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997347"
"16","2018","Cornell","Ivy League",1,"11","Wahl, Austin","Sr","P",16,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1783016","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1783016"
"17","2018","Cornell","Ivy League",1,"22","Bemiss, Jeb","So","P",15,2,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884390","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884390"
"18","2018","Cornell","Ivy League",1,"13","Saks, Adam","Jr","P",13,3,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779079","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779079"
"19","2018","Cornell","Ivy League",1,"20","Urbon, Seth","So","P",12,10,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997324","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997324"
"20","2018","Cornell","Ivy League",1,"36","Willittes, Tim","Sr","P",11,11,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547000","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1547000"
"21","2018","Cornell","Ivy League",1,"9","Morris, Tommy","Sr","P",9,5,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884404","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884404"
"22","2018","Cornell","Ivy League",1,"23","Fernandez, Tyler","Sr","P",9,5,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652394","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652394"
"23","2018","Cornell","Ivy League",1,"7","McMenamy, Owen","Jr","P",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1778328","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1778328"
"24","2018","Cornell","Ivy League",1,"29","Bailey, Garrett","Fr","P",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997331","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997331"
"25","2018","Cornell","Ivy League",1,"26","Davis, Trevor Daniel","Fr","P",4,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997345","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997345"
"26","2018","Cornell","Ivy League",1,"16","Arnold, Austin","Jr","P",3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779080","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779080"
"27","2018","Cornell","Ivy League",1,"8","Binnie, Nicholas","Fr","P",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997325","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997325"
"28","2018","Cornell","Ivy League",1,"3","Carnegie, Alex","So","INF",1,1,0,0,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,167,865,"1884385","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884385"
"29","2018","Cornell","Ivy League",1,"4","Natoli, John","So","P",1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884378","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884378"
"30","2018","Cornell","Ivy League",1,"-","Totals","-","-",NA,NA,0.249,0.352,0.356,198,NA,316,66,8,452,18,182,169,41,14,5,303,23,14,NA,47,NA,167,865,NA,NA
"31","2018","Cornell","Ivy League",1,"-","Opponent Totals","-","-",NA,NA,0.286,0.37,0.413,228,NA,369,78,11,532,21,200,143,40,21,18,242,24,12,NA,39,NA,167,865,NA,NA
